author_id,username,fullname,biography,verified,joined_datetime,tweets_count,following_count,followers_count,likes_count,profile_picture_url,banner_picture_url
300524002,pepeblai,Prof. Voir M. Granovetter,Cada vez me da más pereza todo esto,True,2011-05-17 22:26:00,174266,396,7290,143992,https://pbs.twimg.com/profile_images/1081897470437789696/XFbCuWwl.jpg,https://pbs.twimg.com/profile_banners/300524002/1348335293/1500x500
nan,Isladelaliberta,Isla de la libertad,,True,2015-07-29 11:08:00,85005,882,482,71063,https://pbs.twimg.com/profile_images/626350035131875328/YzABu-Go.jpg,
222183581,LOSTRESMIOS,Olga Lucia,"Fútbol, Negocios, Comunicación.",True,2010-12-02 17:58:00,17482,143,198,251233,https://pbs.twimg.com/profile_images/1540329280172875777/lfTjrcBa.jpg,https://pbs.twimg.com/profile_banners/222183581/1609686743/1500x500
nan,chatos82,CAP,,True,2012-07-16 17:37:00,1471,318,151,967,https://pbs.twimg.com/profile_images/1811241726822019072/8pkIa-dr.jpg,
1595103044236189696,donjosepepetrol,Don José Pepetrol,Me encanta lo lamentable del futbol.,True,2022-11-22 17:13:00,3371,248,113,3230,https://pbs.twimg.com/profile_images/1595106559926976512/9N4ZjvAC.jpg,https://pbs.twimg.com/profile_banners/1595103044236189696/1740528045/1500x500
1611212725,roca_israel,Israel Roca,"Puta Real Madrid, club más corrupto del mundo",True,2013-07-21 19:17:00,3323,552,126,14114,https://pbs.twimg.com/profile_images/1891627029365215232/9tm0Y6Ij.jpg,https://pbs.twimg.com/profile_banners/1611212725/1697725930/1500x500
nan,AscencoJes67103,Jesus Ascenco,,False,2023-04-10 03:02:00,363,8,0,6,https://pbs.twimg.com/profile_images/1866891663806791680/DVyzJ0jM.jpg,
1708128189589934080,AnothawDrake,Drake Malik,"Mil vuit-cents noranta-nou, Neix el club que porto al cor, Blaugrana són els colors
¡Futbol Club Barcelona!
Mi canal de YT: piped.video/@DrakeMalik",True,2023-09-30 14:35:00,18316,0,71,0,https://pbs.twimg.com/profile_images/1708131724964552705/JhXbXDlu.jpg,https://pbs.twimg.com/profile_banners/1708128189589934080/1700434209/1500x500
1691393337725497088,ChanoFulano,Chano Fulano,,True,2023-08-15 10:16:00,3208,263,72,24073,https://pbs.twimg.com/profile_images/1778831851227885568/dpwfBfQ-.jpg,https://pbs.twimg.com/profile_banners/1691393337725497344/1698406727/1500x500
nan,Jos334536732616,José,,False,2023-11-10 17:44:00,2981,19,5,10,https://pbs.twimg.com/profile_images/1723033995825270785/Kazg3goq.png,
734309169226997760,GarciaBravo74,Onix,"Nada ocurre por casualidad,
Busca las señales....",True,2016-05-22 09:05:00,16064,756,610,77504,https://pbs.twimg.com/profile_images/1845129828350955523/7xvVLr_p.jpg,https://pbs.twimg.com/profile_banners/734309169226997760/1524872780/1500x500
1217241124928196608,Joanjo127,Joan 💙✨,Ser del Barça és el millor que hi ha 💙❤️▐ casao 💙💍🩷▐ La sexta es inevitable,True,2020-01-15 00:24:00,48203,741,95,248364,https://pbs.twimg.com/profile_images/1815216296616706048/7T07KSk5.jpg,https://pbs.twimg.com/profile_banners/1217241124928196609/1728752490/1500x500
1345871403715874816,Daniel79aFCB,D.E.91,"100% seguidor del Barcelona❤
100% Panameño🇵🇦🇵🇦🇵🇦🇵🇦",True,2021-01-03 23:15:00,9361,77,34,11274,https://pbs.twimg.com/profile_images/1778073237517225984/-NX8WtE3.jpg,https://pbs.twimg.com/profile_banners/1345871403715874817/1741574179/1500x500
1562184557767655424,javy_rabu,jr_23,CULE ANTIVARDRID,True,2022-08-23 21:07:00,11364,76,41,5114,https://pbs.twimg.com/profile_images/1608954507559313411/htahD_C3.jpg,https://pbs.twimg.com/profile_banners/1562184557767655424/1705929899/1500x500
1613300170585686016,el_chebo,chebazo 🇪🇸❌,ATM.,True,2023-01-11 22:22:00,241,173,31,168,https://pbs.twimg.com/profile_images/1789996102093074433/wW1cIwCU.jpg,https://pbs.twimg.com/profile_banners/1613300170585686017/1695058225/1500x500
948531598726717440,RETRATOMETRO,Jusep Pedretroll,Somos dueños de nuestros silencios y esclavos de nuestras palabras. #PARODIA de mi mismo. No soporto a los histericos ni a los Fanboys...ah y soy zurdo.,True,2018-01-03 12:28:00,60973,118,1060,7212,https://pbs.twimg.com/profile_images/1853403078961025024/g7xv_MOQ.jpg,https://pbs.twimg.com/profile_banners/948531598726717440/1730720271/1500x500
3379203101,misterlobo54,Sra. Pura de Limón,Aquí no se rinde nadie. ¡Carajo!,True,2015-07-16 19:00:00,18133,843,144,61366,https://pbs.twimg.com/profile_images/1192215727303995392/rWINJa71.jpg,https://pbs.twimg.com/profile_banners/3379203101/1444521032/1500x500
1752044611973902336,DoctorizKlaus,Doctor Mc'klaus,Huele el mar y siente el cielo. Dios con nosotros,True,2024-01-29 19:03:00,6021,609,570,46759,https://pbs.twimg.com/profile_images/1848679671170211840/280tF5Pj.jpg,https://pbs.twimg.com/profile_banners/1752044611973902337/1723972929/1500x500
2415305025,mikisan22,acorralaó 🇺🇦🇮🇱🇪🇸,,True,2014-03-16 14:10:00,3892,791,50,373,https://pbs.twimg.com/profile_images/1259903522696507401/z3scrCVo.jpg,https://pbs.twimg.com/profile_banners/2415305025/1397474508/1500x500
4030569081,alvarocasti96,Casti,Hay que saber leer y escribir bien porque es lo que nos diferencia de los hijos de puta.,True,2015-10-24 09:34:00,50412,187,189,31659,https://pbs.twimg.com/profile_images/1878481200567689216/D_v3EyzE.jpg,https://pbs.twimg.com/profile_banners/4030569081/1570656099/1500x500
nan,angel070664,Angel Sánchez Rodríguez,Oficial 1°Instalador cableado Informático,True,2010-11-01 11:57:00,348,185,5,472,https://pbs.twimg.com/profile_images/1370852270552850435/7nh-EQ2k.jpg,
nan,Mstuit,M,,True,2022-08-18 07:14:00,1688,418,6,760,https://pbs.twimg.com/profile_images/1560163750736543744/n-EfsIRe.jpg,
