"author","count_star()"
"1761730663823163392",1
"1560163111620976646",1
"1239177441907748864",1
"1756996560318009344",1
"1763999628251353088",1
"1600232121435561986",1
"877188327333650432",1
"2849496411",1
"326356806",1
"2721365932",1
"235187285",1
"1238915249908207617",1
"1611087218",1
"202322767",1
"405931762",1
"299289589",1
"850392641049112578",1
"4570778536",1
"1523742169399500801",1
"161292661",1
"1372971017325404167",1
"954271022",1
"1611212725",1
"980073163",1
"1161662980905480192",1
"375695879",1
"1383554891717640199",1
"1227652025070051329",1
"2394085798",1
"876214705",1
"1547947026779758595",1
"1536067421680934912",1
"966144383681691648",1
"1941723872",1
"1665470553271009280",1
"1092900197477298183",1
"2498322208",1
"1481993819138805762",1
"1613300170585686017",1
"1321000674197491713",1
"3979806731",1
"1295674878528544768",1
"845742774",1
"1589584097625739265",1
"1643989523674861569",1
"848478377443028996",1
"1683537626383433741",1
"1471658403869204481",1
"841695488",1
"2282644808",1
"1361302911725301770",1
"505144192",1
"610992469",1
"1082643899213103104",1
"1796590045786165248",1
"1603268409386573832",1
"1070274261934399488",1
"1164859382103977985",1
"1112325145870458881",1
"586068725",1
"1606971145978249216",1
"914592665357967361",1
"248427334",1
"906926198483189760",1
"3603019875",1
"1570423421439299586",1
"1644386474228318229",1
"1229455680198840320",1
"2832317645",1
"1382849965035229188",1
"183679718",1
"1320817022335393792",1
"1751248334449414144",1
"1488541095231430663",1
"1162851064082776064",1
"818888678705627137",1
"1603471297408749568",1
"1355089541716205568",1
"2446056858",1
"1104865080",1
"847936743290568704",1
"1087213842868797440",1
"868982341745745922",1
"1546273057",1
"1248022828546428928",1
"116585221",1
"1774165335567896576",1
"1106619295990202374",1
"911764004443389952",1
"1645364308816134145",1
"1137831471102799873",1
"4778555121",1
"2727928347",1
"3930801855",1
"2157691945",1
"231999396",1
"1780755923696246784",1
"871858814143934464",1
"39087342",1
"1774178294843219968",1
"1695358136993935360",1
"254757777",1
"292845984",1
"1354551747088429063",1
"1723859250252759041",1
"2806412109",1
"110675227",1
"1429550579802677248",1
"1657721652082245633",1
"243180835",1
"979188312",1
"274742312",1
"15711809",1
"1683549492061110272",1
"1260502887341441024",1
"1782717796717133824",1
"872889256045420545",1
"2521036525",1
"388209591",1
"993714738",1
"1056134024622673926",1
"1251196535787991045",1
"859819481874432000",1
"1077966348481974277",1
"1660042139969921025",1
"1398363261255536640",1
"1716799442538369024",1
"122310568",1
"1390829253663526913",1
"313191651",1
"297882087",1
"1711983282529730560",1
"1399179826309873666",1
"1275799732716294144",1
"887740149894979584",1
"1687117573",1
"317444245",1
"1671112928957693953",1
"100237366",1
"993219054",1
"1632079333358485509",1
"1550470454153994241",1
"1604992243009462272",1
"1791805882591764480",1
"193698640",1
"1039862506607595520",1
"798037916",1
"1546007058541076482",1
"1723088078032576512",1
"3225915737",1
"116615479",1
"76119467",1
"710770274",1
"910689340514357250",1
"813848303125364736",1
"1411628423513096193",1
"1382337929650049027",1
"311530251",1
"1393219553186955264",1
"1572534490626490368",1
"1487932677768495104",1
"4318600343",1
"1393102778",1
"377891369",1
"1716653955986456576",1
"1646245360505856004",1
"1325703838196764672",1
"570695689",1
"1226209985002188800",1
"1744285540260737025",1
"982305058946715649",1
"1391421366776352773",1
"938508898054615040",1
"1566028522073853952",1
"1534929932119425027",1
"2492568049",1
"1384912520",1
"201290063",1
"1422317349491912709",1
"1789001126517297152",1
"407215365",1
"112195701",1
"267135555",1
"606624104",1
"1455359352601260038",1
"1389676817469120520",1
"968662989783134209",1
"1425830006035423242",1
"1607068204345475072",1
"1548128450317131777",1
"2752841059",1
"80055946",1
"93115278",1
"1238606972",1
"1580213182861381641",1
"1252529308326924289",1
"275951790",1
"915286979721486336",1
"288444492",1
"1578688288810045440",1
"4872584357",1
"720669970661797890",1
"1520815182083203078",1
"892289711758331904",1
"1335542376811655169",1
"4277323817",1
"122216773",1
"966454850",1
"4794967759",1
"1652644000422060033",1
"19495929",1
"1216279043554861057",1
"1732802419124260864",1
"1180966845291077632",1
"1743575399123017728",1
"1558565656194334720",1
"1199939801752977409",1
"1527055710",1
"288308562",1
"1217744390938157058",1
"3817350436",1
"920170567847890944",1
"106732990",1
"1487893826643668996",1
"1696590752447361024",1
"1655635430262337536",1
"1261602381076344832",1
"1651919379016056836",1
"1406280540777598978",1
"1297568761730551808",1
"3039229139",1
"422695080",1
"817728988244123648",1
"260298071",1
"2949881561",1
"1193126421725622273",1
"4692051630",1
"1347512378703941632",1
"979417398",1
"488710266",1
"1772713419369590784",1
"943359893691617281",1
"1585928055746330625",1
"1427530926788128792",1
"231098355",1
"1425431929042743296",1
"1299992307727556609",1
"1438889414474846214",1
"1489283426444353539",1
"868932507613396993",1
"440168108",1
"1145094744026034176",1
"1581291541942910982",1
"803309706244718593",1
"1357932675470925824",1
"2248956929",1
"2832412710",1
"1313923246824345602",1
"2359103409",1
"838832274951008256",1
"1798726618346876928",1
"1666699925080473600",1
"1752723607871004672",1
"1706507460687675392",1
"945371120659726337",1
"1577245886987603969",1
"1800558956000980994",1
"1242503276026826753",1
"454386958",1
"1689004954189467649",1
"868243776",1
"700652491667431424",1
"556835142",1
"3355919578",1
"96626836",1
"2988225981",1
"1795167744687509506",1
"77691076",1
"261803436",1
"785402179402227712",1
"952277420329111552",1
"1055966133004709889",1
"836563889701670912",1
"3402374669",1
"2515065345",1
"758304341715480576",1
"1673804996280823809",1
"348680194",1
"1588948388204220421",1
"1631997976011833344",1
"815373246",1
"1419115439125266433",1
"890747734789160960",1
"2787229306",1
"1691058965562445824",1
"144525779",1
"1633918371472236544",1
"340379783",1
"2878529104",1
"901913469045309443",1
"807265616126152704",1
"2710858670",1
"1501223322058698754",1
"1092054337520578560",1
"65665921",1
"850253277224615936",1
"1584372561525313538",1
"252583558",1
"1549747530866515970",1
"1503133741350273035",1
"1119577914125815809",1
"245591678",1
"1103423446514614272",1
"808647807569641473",1
"1202860218",1
"882010280489824256",1
"2830056185",1
"1503817970908381196",1
"1449978050259689475",1
"1298644489888763904",1
"1696477519342346240",1
"422952482",1
"1336458182",1
"1672385298573959171",1
"1192233534259417089",1
"229861606",1
"782686776049577984",1
"792789250500616192",1
"192593369",1
"3479422701",1
"1051940395683381251",1
"902286067",1
"1140720076091473921",1
"1099088558",1
"3091928667",1
"1247074831444709379",1
"1261416393846726656",1
"1226935168163876865",1
"259728035",1
"1114563599127728128",1
"1504501201718718466",1
"1464839420176121856",1
"1782513310077788160",1
"1360283654",1
"1398677048361631748",1
"344167329",1
"3437816819",1
"281750336",1
"404353147",1
"2984009752",1
"1531340660019810308",1
"940716573417005056",1
"875338111408111616",1
"1270264318462963715",1
"714225011381428226",1
"860797600852783104",1
"4824097246",1
"563640427",1
"1780583569875775492",1
"1679555910107013121",1
"156757566",1
"158730655",1
"1481664429779562506",1
"1123958270132150272",1
"257053584",1
"1426998006197403648",1
"3245455319",1
"504368791",1
"2237232250",1
"2646422688",1
"2683948677",1
"945928803012022274",1
"2815045804",1
"145698582",1
"1799486861921955840",1
"703264730409005056",1
"1120815873919520768",1
"1492994373608476672",1
"27846537",1
"256887587",1
"209555829",1
"1251169482007031811",1
"299163968",1
"527125533",1
"149065144",1
"301952389",1
"407235736",1
"54134167",1
"618107583",1
"2879444955",1
"2720579825",1
"182870915",1
"1265598841140756489",1
"393714527",1
"1242216265009283074",1
"273287266",1
